Generating SQLite file /tmp/baseline_debug.sqlite from /tmp/baseline_debug.nsys-rep
Processing [/tmp/baseline_debug.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)   Style                  Range               
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  -------  -----------------------------------
     46.6       1272149032          1  1272149032.0  1272149032.0  1272149032  1272149032          0.0  PushPop  :program_total                     
     41.2       1124150140          1  1124150140.0  1124150140.0  1124150140  1124150140          0.0  PushPop  :cpu_generate_input                
      2.8         76529434          1    76529434.0    76529434.0    76529434    76529434          0.0  PushPop  :benchmark_measured_iterations     
      1.8         48603599          3    16201199.7    16221336.0    16128560    16253703      64956.1  PushPop  :d2h_transfer                      
      1.6         43696289          3    14565429.7    12343845.0    11688858    19663586    4427262.2  PushPop  :h2d_transfer                      
      1.6         43177459          1    43177459.0    43177459.0    43177459    43177459          0.0  PushPop  :benchmark_warmup                  
      1.4         37893075          1    37893075.0    37893075.0    37893075    37893075          0.0  PushPop  :measured_iteration_0              
      1.3         34202093          1    34202093.0    34202093.0    34202093    34202093          0.0  PushPop  :warmup_iteration_0                
      1.1         29813642          1    29813642.0    29813642.0    29813642    29813642          0.0  PushPop  :measured_iteration_1              
      0.6         15293101          2     7646550.5     7646550.5     7602228     7690873      62681.5  PushPop  :cuda_free                         
      0.1          2377409          2     1188704.5     1188704.5     1093517     1283892     134615.5  PushPop  :cuda_allocation                   
      0.1          1614801          3      538267.0       15951.0       11170     1587680     908821.5  PushPop  :filter_kernel_launch              
      0.0           457986          1      457986.0      457986.0      457986      457986          0.0  PushPop  :timing_summary                    
      0.0            31737          3       10579.0        6076.0        5335       20326       8449.3  PushPop  :block_partial_reduce_kernel_launch

